"season","firstName","lastName","teamName","marksInside50","hitOuts","tackles","rebound50s","inside50s","clearances","onePercenters","goalAssists","marksOutside50","scoringShots","nonClearanceContPos","otherPossessions","height"
2003,"Aaron","Fiora","Richmond",-0.228787491582252,-0.330240196800514,-0.849482719281125,0.0990932781356738,0.209886092947481,-0.688862269109002,-0.603279362354909,-0.431187803928245,0.198868714866954,-0.528960548430111,-0.708306840979084,0.311895179142062,-0.132410759191079
2003,"Aaron","Hamill","St Kilda",1.44043115403405,-0.233536885411741,1.19592161812922,-1.35730833679068,0.867413351828921,-0.0738914657639057,-0.0628159816408022,1.91468144802273,-0.778673575377296,0.87631004283694,1.50686062978592,-1.65823284558029,-0.419048237897626
2003,"Aaron","Henneman","Essendon",0.0615423461138885,1.10772964225691,0.189077748952638,-0.837424478358139,-1.67427626257019,0.951314863742693,0.408085522871441,-0.148738276952058,-1.77328969993795,-0.471865412297305,-0.827855120949419,-1.4929418527064,1.15745789498838
2003,"Aaron","Lord","Geelong",0.211440903620048,-0.355075599893043,-0.220405150188325,-1.32311234711051,-0.860855298277105,-0.965338596742317,-1.27283106569561,0.0443027666647609,-0.937369983866427,1.23283222366793,-0.334068747158902,0.387154792825318,-0.132410759191079
2003,"Aaron","Sandilands","Fremantle",-0.290712368967744,4.39534068786164,-0.934218175344913,-0.84183169871104,-0.884817207669247,0.208333282771009,0.539914537752161,0.14084104753882,0.668183666223438,-0.646756851860901,-0.239218153922968,-0.353150292190923,3.45055772464075
2003,"Aaron","Shattock","Brisbane Lions",-0.166253169141977,-0.327809891744861,0.291074585042534,-0.0580112849294581,0.731928841761438,-0.141808091198242,0.125535449863135,1.0637321884265,0.57298611238899,-0.467388107653153,0.193587782373444,-0.0508425985204799,0.0109079801621939
2003,"Adam","Goodes","Sydney",0.615989730697776,1.56073152845928,-0.102608102099331,0.70400063323478,0.916913095694332,1.12192659193791,0.0353712350976959,-0.213220580877676,0.930876911702564,0.181073027240619,0.310643658883486,-0.837249094240067,0.584182937575286
2003,"Adam","Houlihan","Richmond",1.85967330332908,-0.355075599893043,0.0381575292650996,0.368551711909469,-0.0151558980877186,-0.489488571173385,0.0839980824926389,0.307352045536988,1.18459078988414,1.32990945145092,0.444497236068346,0.55102845413855,-0.275729498544352
2003,"Adam","Hunter","West Coast",-0.176772508653248,-0.301361821111527,0.508642110116898,0.344112458613706,-0.843217116444917,-0.481635354776677,1.65977172797485,-0.356759494577819,-0.386666555357701,-0.477745642264471,0.410599785457127,0.256054712732558,0.440864198222013
2003,"Adam","Kingsley","Port Adelaide",-0.728732155399184,-0.355075599893043,-0.363958512684557,1.55107117452468,-0.271193920520564,-0.444188920494812,0.255126687465024,-1.34559274737633,1.31569676459456,-0.952736724011977,0.234497248205655,1.90163631666421,-0.562366977250899
2003,"Adam","McPhee","Essendon",-0.494790773954562,-0.304334090006771,0.862997559549669,0.0806192391410274,-0.270563965564242,-0.300563845498957,0.891657616510023,-0.865190308801674,0.567155832507583,-0.377659765713742,0.00198982854174058,0.693805130592916,0.440864198222013
2003,"Adam","Ramanauskas","Essendon",-0.587459788340155,-0.306043021943883,0.167994604062547,0.129881249073266,1.26327121394864,0.152213534779876,-0.263448764320818,-0.262406019953246,-0.180839291108955,0.705208330826916,0.543822736612574,-0.305177593758083,-0.562366977250899
2003,"Adam","Schneider","Sydney",0.773637234144004,-0.355075599893043,-0.210206793692793,-0.838592359519427,0.87314720785758,-0.348016764190704,-0.414444906772932,0.308762407988279,0.171473364092084,1.6350731644534,-0.739040984776177,-0.672454822514734,-1.70891689207708
2003,"Adam","Simpson","North Melbourne",-0.488780092198756,-0.0309898463452185,-0.11357916319107,0.57165060529979,1.74105706529281,2.80620305661892,-0.108919823083387,1.25783691638644,1.69523360375093,-0.365083532287162,0.605766344949938,-0.523961845220964,-0.275729498544352
2003,"Adem","Yze","Melbourne",-0.509527636747036,-0.355075599893043,-0.316643139399451,1.55643395639798,1.09614763635251,1.20164513836912,-0.590747392657587,-0.576552511739602,-0.438547871567138,-0.0557041011417575,0.635125088270577,-0.27363931892125,0.0109079801621939
2003,"Adrian","Cox","Hawthorn",-0.221101428812674,-0.355075599893043,-0.493545874775525,0.287919320632542,0.276786523514465,-0.364509085074431,-0.394662423859299,-1.01244768859844,-0.939899099995285,-0.203002938717569,-0.56589381378179,0.137951997394015,-0.849004455957445
2003,"Adrian","Hickmott","Carlton",0.672347119816042,-0.355075599893043,-0.288124548560921,-0.736609535732743,0.361204490690074,-0.0648271922672488,-0.375285242409439,-0.430151651017822,-1.17643952207533,1.4665139642811,2.74531177199817,-1.6540629878206,-0.705685716604172
2003,"Alan","Didak","Collingwood",0.891660183021787,-0.347185603980692,-0.563700312286297,-1.22280258427904,-0.0456054876667508,-0.715160529084619,-0.537615507953547,0.571698394565467,-0.561841255361099,1.7403080928539,-0.545486019820667,-0.496719440367359,-0.419048237897626
2003,"Alastair","Lynch","Brisbane Lions",5.02019860234137,-0.311257170272975,-1.51878712410764,-1.47567648906282,-1.54613205652866,-0.919691333246733,-1.08246628933189,0.590407494348406,-2.63418594011837,4.11504905258112,0.608883264697677,-1.96570875144554,0.870820416281833
2003,"Alistair","Nicholson","Melbourne",-0.72244621606433,-0.304224896226185,-1.13911596082559,0.405241675670308,-1.52449012732676,-0.866795579461469,3.13413010569147,-0.971142333686235,-0.34438456585317,-1.15817225275084,-1.68634535876552,0.23077193501568,1.44409537369493
